#This should be a tab-delimited file.  Column 1 = cell line name.  Column 2 = ECACC catalogue number.
#Catalouge Numbers ECHC7765001 to ECGC77650107 allocated by ECACC
#ECGC77650108  to ECGC77659999 available for allocation by us
#cell_line	ecacc_catalogue_number
HPSI0514i-eoxi_6	77650348
HPSI0514i-pulk_1	77650349
HPSI0714i-oebj_1	77650350
HPSI0414i-walu_1	77650351
HPSI0614i-koqx_1	77650352
HPSI0414i-eevy_6	77650353
HPSI0414i-eevy_7	77650354
HPSI0414i-oulr_2	77650355
HPSI0414i-oulr_4	77650356
HPSI0514i-tavh_2	77650357
HPSI0614i-zoio_1	77650358
HPSI0614i-zoio_2	77650359
HPSI0714i-ouzk_5	77650360
HPSI0714i-keui_4	77650361
HPSI0913i-rufg_4	77650362
HPSI0614i-eisk_6	77650363
HPSI0514i-uenn_3	77650364
HPSI0614i-laig_2	77650365
HPSI0614i-laig_1	77650366
HPSI0614i-lepk_1	77650367
HPSI0715i-meue_4	77650368
HPSI0414i-niim_5	77650369
HPSI1014i-roug_3	77650370
HPSI1014i-sehl_6	77650371
HPSI0514i-aecv_3	77650372
HPSI1114i-ualf_2	77650373
HPSI0914i-suop_2	77650374
HPSI0914i-tifo_2	77650375
HPSI0714i-meet_3	77650376
HPSI0714i-nufh_4	77650377
HPSI0614i-gawh_12	77650378
HPSI0914i-ouvb_2	77650379
HPSI0414i-oikd_2	77650380
HPSI0514pf-sohd_2	77650381
HPSI1014i-nosn_1	77650382
HPSI0514i-naah_4	77650383
HPSI0115i-qoog_6	77650384
HPSI0414i-oikd_5	77650385
HPSI0514i-sohd_3	77650386
HPSI0914i-gine_2	77650387
HPSI0715i-zaie_1	77650388
HPSI1114i-ualf_6	77650389
HPSI0514i-mure_4	77650390
HPSI0914i-suop_5	77650391
HPSI0614i-mesr_4	77650392
HPSI0913i-rufg_3	77650393
HPSI0514i-letw_1	77650394
HPSI0614i-oicx_6	77650395
HPSI0514i-letw_5	77650396
HPSI0514i-aecv_2	77650397
HPSI0514i-aomr_5	77650398
HPSI0714i-ouzk_4	77650399
HPSI0115i-aion_2	77650400
HPSI0614i-denw_6	77650401
HPSI0714i-keui_1	77650402
HPSI0115i-vazt_2	77650403
HPSI0914i-iezw_2	77650404
HPSI0715i-zaie_5	77650405
HPSI0414i-niim_3	77650406
HPSI0614i-voxu_2	77650407
HPSI0715i-meue_5	77650408
HPSI0614i-eisk_3	77650409
HPSI0514i-naah_2	77650410
HPSI0614i-gawh_7	77650411
HPSI0115i-hecn_3	77650412
HPSI0215i-yoch_6	77650413
HPSI0614i-lepk_4	77650414
HPSI0115i-hecn_6	77650415
HPSI0514i-aomr_6	77650416
HPSI0715i-aowh_2	77650417
HPSI1113i-wahn_1	77650418
HPSI1113i-wahn_2	77650419
HPSI1014i-nosn_6	77650420
HPSI0115i-iiyk_2	77650421
HPSI0115i-iiyk_4	77650422
HPSI1014i-vils_1	77650423
HPSI1013i-zagm_1	77650424
HPSI0115i-vazt_1	77650425
HPSI0714i-kute_4	77650426
HPSI0614i-voxu_1	77650427
HPSI0714i-nufh_3	77650428
HPSI0614i-oicx_2	77650429
HPSI0714i-kute_5	77650430
HPSI0115i-qoog_4	77650431
HPSI0514i-mure_9	77650432
HPSI0914i-tifo_1	77650433
HPSI0115i-aion_3	77650434
HPSI0213i-koun_2	77650435
HPSI0414i-uawq_2	77650436
HPSI0514i-qajt_5	77650437
HPSI0514i-qajt_2	77650438
HPSI0914i-rejf_2	77650439
HPSI0614i-kecw_3	77650440
HPSI0614i-kecw_4	77650441
HPSI0514i-kooz_5	77650442
HPSI0216i-xanu_5	77650443
HPSI0216i-xanu_6	77650444
HPSI0115i-paim_1	77650445
HPSI0115i-paim_3	77650446
HPSI0914i-vaka_5	77650447
HPSI0614i-voce_1	77650448
HPSI0614i-voce_2	77650449
HPSI0614i-wihj_1	77650450
HPSI0614i-wihj_4	77650451
HPSI0115i-aoxv_1	77650452
HPSI0115i-aoxv_3	77650453
HPSI0115i-gost_2	77650454
HPSI1114i-kuul_1	77650455
HPSI1114i-kuul_2	77650456
HPSI0514i-oekw_2	77650457
HPSI0813i-peoj_1	77650458
HPSI0314i-kujn_2	77650459
HPSI0314i-kujn_5	77650460
HPSI0614i-puhk_2	77650461
HPSI0614i-puhk_5	77650462
HPSI0814i-siqu_4	77650463
HPSI0814i-siqu_11	77650464
HPSI0514i-tert_1	77650465
HPSI0514i-tert_3	77650466
HPSI0714i-xiry_1	77650467
HPSI0714i-xiry_5	77650468
HPSI0216i-aiid_1	77650469
HPSI0216i-aiid_6	77650470
HPSI0216i-boho_3	77650471
HPSI0216i-dacv_6	77650472
HPSI0416i-fiwt_3	77650473
HPSI0316i-ierp_4	77650474
HPSI0614i-lipl_2	77650475
HPSI0614i-lipl_5	77650476
HPSI0614i-lirf_5	77650477
HPSI0614i-lirf_6	77650478
HPSI0416i-mefc_1	77650479
HPSI0416i-mefc_2	77650480
HPSI0813i-mioj_1	77650481
HPSI0813i-mioj_4	77650482
HPSI0613i-oesx_3	77650483
HPSI0514i-oupf_5	77650484
HPSI0514i-oupf_6	77650485
HPSI0316i-qeti_1	77650486
HPSI0316i-qeti_2	77650487
HPSI0614i-qunz_2	77650488
HPSI0614i-qunz_3	77650489
HPSI0216i-tony_5	77650490
HPSI0216i-vieg_3	77650491
HPSI0216i-vieg_5	77650492
HPSI0514i-xayd_4	77650493
HPSI0514i-xayd_5	77650494
HPSI1014i-xiyh_4	77650495
HPSI0215i-zett_5	77650496
HPSI0516i-eitu_3	77650497
HPSI0216i-heub_6	77650498
HPSI0216i-iogu_5	77650499
HPSI0516i-jepf_3	77650500
HPSI0516i-jepf_5	77650501
HPSI0316i-muwv_3	77650502
HPSI0316i-muwv_6	77650503
HPSI0414i-nolz_4	77650504
HPSI0516i-oazw_3	77650505
HPSI0516i-oazw_4	77650506
HPSI0416i-ourj_1	77650507
HPSI0416i-ourj_2	77650508
HPSI0516i-pews_2	77650509
HPSI0516i-pews_3	77650510
HPSI0216i-puxp_1	77650511
